Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
"Fuck the Patriarchy Keychain, Feminist keychain Inspirational Gift, All Too Well Keyring, fuck the patriarchy keyring, Christmas Gifts Girls ",Accessories > Keychains & Lanyards > Keychains,9.99,144,1329,234,4,3282,104,"Keychain Gift,Birthday Gift,Anniversary Gift,Daughter Gift,Car Accessory,Patriarchy Keychain,Fuck the Patriarchy,Personal Keychain,Personalized,Feminist Keychain,Feminist Gift,Feminist,Feminist Gifts,Gifts for Boyfriend,Gifts for Dad,Gifts for Girlfriend,Gifts for Girls,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Friends,Gifts for Her,Gifts for Him,Personalized Gifts,Gifts",United States,2022-11-23,yes,no,no,FirstJewelryDesign,https://www.etsy.com/listing/1353604299/fuck-the-patriarchy-keychain-feminist,Upgrade Pro to Unlock
The Critter Corner ..... PUMPKIN VILLAGE -- Block #12 ,Home & Living > Bedding > Blankets & Throws > Quilts,7.95,144,456,73,2,32,0,"Stitchery,Quilt Kits,Quilt Patterns,Wool Applique,Printed Pattern,Stitch Along,Block of the Month,Wool,WEEKS DYE WORKS,WOOL PUMPKINS,PUMPKIN VILLAGE,HALLOWEEN WOOL,The Critter Corner,Gifts for Friends,Housewarming Gifts,Gifts",United States,2023-07-15,yes,no,no,myreddoordesigns,https://www.etsy.com/listing/1509502232/the-critter-corner-pumpkin-village-block,Upgrade Pro to Unlock
"Peeta Mellark Vintage Unisex Shirt, Limited Peeta Mellark Vintage T-Shirt, Gift Unisex T-Shirt, Best Peeta Mellark SweatShirt Gift Idea Fan ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,1.6,144,306,36,13,652,126,"Peeta Mellark Merch,Peeta Mellark Shirt,Peeta Mellark,Funny Tshirt Gift,Louis Tomlinson,One Direction Shirt,Gift for Baker,Baking Gifts for Her,Peeta Mellark Tshirt,Peeta Mellark Tee,Custom Tshirt Gifts,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Gifts for Her,Personalized Gifts,Gifts",United States,2023-07-04,yes,no,no,BlackonBlackCouture,https://www.etsy.com/hk-en/listing/1516474521/peeta-mellark-vintage-unisex-shirt,Upgrade Pro to Unlock
"Funny Halloween Hoodie, Jack Skellington Hoodie, Nightmare before Christmas Sweat, Horror Movie Hoodie, Halloween crewneck, Front and Back ",Clothing,33.2,144,144,28,2,497,12,"Halloween Crewneck,Jack Skellington Tee,Jack Skellington,Fall Sweatshirt,Face Sweatshirt,Christmas Sweatshirt,Nightmare Before,Christmas Tshirt,Halloween Sweatshirt,Halloween Spooky,HALLOWEEN SHIRT,Funny Cute Sweat,Halloween Sweatshir,Christmas Gifts",United States,2023-07-16,yes,no,no,DressToByKarina,https://www.etsy.com/listing/1524392335/funny-halloween-hoodie-jack-skellington,Upgrade Pro to Unlock
"I Love You For Your Personality, Gift For Him, Boyfriend Gifts, Gifts For Men, Gift For Husband, Funny Gifts For Him, Valentines Day Gifts ",Home & Living > Home Decor > Candles & Home Fragrances > Candles > Container Candles,18,144,2220,453,23,7083,616,"I Love You,Gift for Him,Boyfriend Gifts,Gifts for Men,Gift for Husband,Funny Gifts,For Him,Valentines Day,Gift,Gifts,Funny,Man,For Your Personality,Gifts for Boyfriend,Gifts for Dad,Gifts for Girlfriend,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Him,Gifts for Pets,Gifts for Teachers,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-01-20,yes,no,no,WaxOnFire,https://www.etsy.com/listing/1383625720/i-love-you-for-your-personality-gift-for,Upgrade Pro to Unlock
Tay Cup Topper ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,12,144,568,73,19,1330,204,"Nameplate,Stanley,Topper,Custom,Custom Stanley,Popular Topper,Fan Girl Name Plate,Custom Topper,Gifts for Boyfriend,Gifts for Dad,Gifts for Girlfriend,Gifts for Girls,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Him,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-08-13,yes,no,no,LincandIvy,https://www.etsy.com/listing/1529397504/tay-cup-topper,Upgrade Pro to Unlock
S003: Sanzen Tomoe River S White Paper 52 GSM 80 Pages Notebook ,"Books, Movies & Music > Books > Blank Books > Journals & Notebooks",4.99,144,739,185,0,225,0,"Paper Penguin Co,Travelers Notebook,Paperpenguinco,Tomoe River Paper,Tomoe River Notebook,52 GSM Tomoe River,Penguin Paper Co,Tomoe River Insert,Traveler's Notebook,Sanzen Tomoe River,Tomoe River S,New Tomoe River,Christmas Gifts,Gifts",United States,2022-05-07,yes,no,no,PaperPenguinCo,https://www.etsy.com/listing/1228758529/s003-sanzen-tomoe-river-s-white-paper-52,Upgrade Pro to Unlock
"Personalized Christmas Ornaments, Engraved Ornament, Christmas Tree Ornament, Engraved Christmas Ornament, Couples Gift, Wedding Gift ",Home & Living > Home Decor > Seasonal Decor > Ornaments,22,144,238,47,33,634,184,"Christmas Gift,Wedding Gift,Tree Ornament,Personalize Ornament,Christmas Ornament,Rustic Ornament,Tree Decorations,Couples Gift,Couples Ornament,Custom Ornament,Ornament Couples,Love Tree Ornament,Tree Initials Heart,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2019-08-13,yes,no,no,AllAboutImpressions,https://www.etsy.com/listing/714565308/personalized-christmas-ornaments,Upgrade Pro to Unlock
"Personalized Family Christmas Ornament, Family Snowman Custom, Christmas Tree Ornament, Family Ornament Personalized 2023 Christmas Gifts ",Home & Living > Home Decor > Seasonal Decor > Ornaments,13.95,144,538,56,12,437,70,"Family Ornament,Personalized 2023,Christmas Gifts,Christmas Tree,Snowman Ornament,Family Snowman,Personalized Family,Christmas Ornament,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-08-28,yes,no,no,Baienshop,https://www.etsy.com/listing/1539965900/personalized-family-christmas-ornament,Upgrade Pro to Unlock
"In My Boy Mom Era Sweatshirt, Boy Mom Club Sweatshirt, Boy Mama Sweatshirt, New Mom Gift, Boy Mama Era Sweatshirt, Gift For Her ",Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,26.4,144,1309,298,38,1861,226,"Boy Mama Sweatshirt,New Mom Gift,Gift for Her,Boy Mama,Era Sweatshirt,Boy Mom,Club Sweatshirt,In My Boy Mom,Birth Gift for Wife,Mom Sweatshirt,Gift for Boy,Mom Birthday,Mother's Day,Gifts for Boys,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Birthday Gifts,Gifts for Her,Gifts",United States,2023-08-19,yes,no,no,LotusGiftify,https://www.etsy.com/listing/1533679458/in-my-boy-mom-era-sweatshirt-boy-mom,Upgrade Pro to Unlock
